Model: ms_clap
Channel: [<dasp_pytorch.modules.NoiseShapedReverb object at 0x7fb5a1c52040>]
Learning Rate: 0.01
Iteration 188: roll_amount: [35942]
Iteration 189: roll_amount: [56435]
Iteration 190: roll_amount: [53960]
Iteration 191: roll_amount: [54603]
Iteration 192: roll_amount: [45943]
Iteration 193: roll_amount: [28756]
Iteration 194: roll_amount: [62795]
Iteration 195: roll_amount: [50808]
Iteration 196: roll_amount: [49253]
Iteration 197: roll_amount: [39416]
Iteration 198: roll_amount: [76647]
Iteration 199: roll_amount: [42807]
Iteration 200: roll_amount: [87178]
Iteration 201: roll_amount: [56793]
Iteration 202: roll_amount: [33397]
Iteration 203: roll_amount: [49973]
Iteration 204: roll_amount: [47705]
Iteration 205: roll_amount: [25578]
Iteration 206: roll_amount: [85228]
Iteration 207: roll_amount: [26959]
Iteration 208: roll_amount: [7635]
Iteration 209: roll_amount: [2313]
Iteration 210: roll_amount: [38947]
Iteration 211: roll_amount: [31158]
Iteration 212: roll_amount: [55038]
Iteration 213: roll_amount: [81649]
Iteration 214: roll_amount: [55015]
Iteration 215: roll_amount: [15466]
Iteration 216: roll_amount: [77349]
Iteration 217: roll_amount: [79114]
Iteration 218: roll_amount: [59967]
Iteration 219: roll_amount: [45137]
Iteration 220: roll_amount: [17084]
Iteration 221: roll_amount: [7038]
Iteration 222: roll_amount: [51450]
Iteration 223: roll_amount: [89754]
Iteration 224: roll_amount: [87973]
Iteration 225: roll_amount: [61584]
Iteration 226: roll_amount: [75799]
Iteration 227: roll_amount: [88188]
Iteration 228: roll_amount: [66824]
Iteration 229: roll_amount: [13764]
Iteration 230: roll_amount: [6159]
Iteration 231: roll_amount: [70610]
Iteration 232: roll_amount: [17924]
Iteration 233: roll_amount: [82596]
Iteration 234: roll_amount: [40836]
Iteration 235: roll_amount: [43487]
Iteration 236: roll_amount: [5548]
Iteration 237: roll_amount: [73070]
Iteration 238: roll_amount: [69508]
Iteration 239: roll_amount: [15138]
Iteration 240: roll_amount: [38915]
Iteration 241: roll_amount: [15841]
Iteration 242: roll_amount: [46025]
Iteration 243: roll_amount: [61474]
Iteration 244: roll_amount: [60058]
Iteration 245: roll_amount: [38196]
Iteration 246: roll_amount: [39948]
Iteration 247: roll_amount: [35834]
Iteration 248: roll_amount: [64890]
Iteration 249: roll_amount: [51352]
Iteration 250: roll_amount: [76346]
Iteration 251: roll_amount: [47307]
Iteration 252: roll_amount: [48669]
Iteration 253: roll_amount: [57155]
Iteration 254: roll_amount: [62035]
Iteration 255: roll_amount: [56688]
Iteration 256: roll_amount: [1973]
Iteration 257: roll_amount: [51579]
Iteration 258: roll_amount: [62049]
Iteration 259: roll_amount: [336]
Iteration 260: roll_amount: [69879]
Iteration 261: roll_amount: [6999]
Iteration 262: roll_amount: [79578]
Iteration 263: roll_amount: [28125]
Iteration 264: roll_amount: [33239]
Iteration 265: roll_amount: [22317]
Iteration 266: roll_amount: [25466]
Iteration 267: roll_amount: [31583]
Iteration 268: roll_amount: [83999]
Iteration 269: roll_amount: [85936]
Iteration 270: roll_amount: [73015]
Iteration 271: roll_amount: [55930]
Iteration 272: roll_amount: [78613]
Iteration 273: roll_amount: [84296]
Iteration 274: roll_amount: [29226]
Iteration 275: roll_amount: [87710]
Iteration 276: roll_amount: [22833]
Iteration 277: roll_amount: [68426]
Iteration 278: roll_amount: [73884]
Iteration 279: roll_amount: [89615]
Iteration 280: roll_amount: [13230]
Iteration 281: roll_amount: [71647]
Iteration 282: roll_amount: [89333]
Iteration 283: roll_amount: [37336]
Iteration 284: roll_amount: [50009]
Iteration 285: roll_amount: [30673]
Iteration 286: roll_amount: [56108]
Iteration 287: roll_amount: [36604]
Iteration 288: roll_amount: [39915]
Iteration 289: roll_amount: [84292]
Iteration 290: roll_amount: [28381]
Iteration 291: roll_amount: [51947]
Iteration 292: roll_amount: [67564]
Iteration 293: roll_amount: [5064]
Iteration 294: roll_amount: [14377]
Iteration 295: roll_amount: [61921]
Iteration 296: roll_amount: [13915]
Iteration 297: roll_amount: [54290]
Iteration 298: roll_amount: [9797]
Iteration 299: roll_amount: [76731]
Iteration 300: roll_amount: [85614]
Iteration 301: roll_amount: [34440]
Iteration 302: roll_amount: [60486]
Iteration 303: roll_amount: [42041]
Iteration 304: roll_amount: [58726]
Iteration 305: roll_amount: [6140]
Iteration 306: roll_amount: [7915]
Iteration 307: roll_amount: [68562]
Iteration 308: roll_amount: [35642]
Iteration 309: roll_amount: [39181]
Iteration 310: roll_amount: [68809]
Iteration 311: roll_amount: [44047]
Iteration 312: roll_amount: [12219]
Iteration 313: roll_amount: [4644]
Iteration 314: roll_amount: [36535]
Iteration 315: roll_amount: [34379]
Iteration 316: roll_amount: [87286]
Iteration 317: roll_amount: [5512]
Iteration 318: roll_amount: [7955]
Iteration 319: roll_amount: [18620]
Iteration 320: roll_amount: [90072]
Iteration 321: roll_amount: [39888]
Iteration 322: roll_amount: [40877]
Iteration 323: roll_amount: [55559]
Iteration 324: roll_amount: [51719]
Iteration 325: roll_amount: [21478]
Iteration 326: roll_amount: [64360]
Iteration 327: roll_amount: [58642]
Iteration 328: roll_amount: [49054]
Iteration 329: roll_amount: [46129]
Iteration 330: roll_amount: [12272]
Iteration 331: roll_amount: [71337]
Iteration 332: roll_amount: [2793]
Iteration 333: roll_amount: [86731]
Iteration 334: roll_amount: [2533]
Iteration 335: roll_amount: [4334]
Iteration 336: roll_amount: [65261]
Iteration 337: roll_amount: [12751]
Iteration 338: roll_amount: [58250]
Iteration 339: roll_amount: [73731]
Iteration 340: roll_amount: [14290]
Iteration 341: roll_amount: [1278]
Iteration 342: roll_amount: [32917]
Iteration 343: roll_amount: [69248]
Iteration 344: roll_amount: [25324]
Iteration 345: roll_amount: [50567]
Iteration 346: roll_amount: [6144]
Iteration 347: roll_amount: [21120]
Iteration 348: roll_amount: [22101]
Iteration 349: roll_amount: [90464]
Iteration 350: roll_amount: [28221]
Iteration 351: roll_amount: [13674]
Iteration 352: roll_amount: [22176]
Iteration 353: roll_amount: [11436]
Iteration 354: roll_amount: [38304]
Iteration 355: roll_amount: [90397]
Iteration 356: roll_amount: [57883]
Iteration 357: roll_amount: [85762]
Iteration 358: roll_amount: [28663]
Iteration 359: roll_amount: [62760]
Iteration 360: roll_amount: [68643]
Iteration 361: roll_amount: [27339]
Iteration 362: roll_amount: [68580]
Iteration 363: roll_amount: [23376]
Iteration 364: roll_amount: [4715]
Iteration 365: roll_amount: [11780]
Iteration 366: roll_amount: [52549]
Iteration 367: roll_amount: [89092]
Iteration 368: roll_amount: [62652]
Iteration 369: roll_amount: [72209]
Iteration 370: roll_amount: [26750]
Iteration 371: roll_amount: [26298]
Iteration 372: roll_amount: [10497]
Iteration 373: roll_amount: [37024]
Iteration 374: roll_amount: [60061]
Iteration 375: roll_amount: [73562]
Iteration 376: roll_amount: [68073]
Iteration 377: roll_amount: [40930]
Iteration 378: roll_amount: [66298]
Iteration 379: roll_amount: [39271]
Iteration 380: roll_amount: [3302]
Iteration 381: roll_amount: [11258]
Iteration 382: roll_amount: [2702]
Iteration 383: roll_amount: [3788]
Iteration 384: roll_amount: [25078]
Iteration 385: roll_amount: [30261]
Iteration 386: roll_amount: [27042]
Iteration 387: roll_amount: [88551]
Iteration 388: roll_amount: [35326]
Iteration 389: roll_amount: [34608]
Iteration 390: roll_amount: [5184]
Iteration 391: roll_amount: [29807]
Iteration 392: roll_amount: [26147]
Iteration 393: roll_amount: [40546]
Iteration 394: roll_amount: [55922]
Iteration 395: roll_amount: [21045]
Iteration 396: roll_amount: [48013]
Iteration 397: roll_amount: [29956]
Iteration 398: roll_amount: [29762]
Iteration 399: roll_amount: [54674]
Iteration 400: roll_amount: [32488]
Iteration 401: roll_amount: [45954]
Iteration 402: roll_amount: [51066]
Iteration 403: roll_amount: [36701]
Iteration 404: roll_amount: [7460]
Iteration 405: roll_amount: [60556]
Iteration 406: roll_amount: [18137]
Iteration 407: roll_amount: [21274]
Iteration 408: roll_amount: [4931]
Iteration 409: roll_amount: [88413]
Iteration 410: roll_amount: [20766]
Iteration 411: roll_amount: [88138]
Iteration 412: roll_amount: [32150]
Iteration 413: roll_amount: [29358]
Iteration 414: roll_amount: [69210]
Iteration 415: roll_amount: [56532]
Iteration 416: roll_amount: [82388]
Iteration 417: roll_amount: [37239]
Iteration 418: roll_amount: [4665]
Iteration 419: roll_amount: [64633]
Iteration 420: roll_amount: [11541]
Iteration 421: roll_amount: [86018]
Iteration 422: roll_amount: [500]
Iteration 423: roll_amount: [51833]
Iteration 424: roll_amount: [47829]
Iteration 425: roll_amount: [84171]
Iteration 426: roll_amount: [23687]
Iteration 427: roll_amount: [19923]
Iteration 428: roll_amount: [50824]
Iteration 429: roll_amount: [69291]
Iteration 430: roll_amount: [87806]
Iteration 431: roll_amount: [58553]
Iteration 432: roll_amount: [18376]
Iteration 433: roll_amount: [66183]
Iteration 434: roll_amount: [64033]
Iteration 435: roll_amount: [87006]
Iteration 436: roll_amount: [79907]
Iteration 437: roll_amount: [44686]
Iteration 438: roll_amount: [14425]
Iteration 439: roll_amount: [15357]
Iteration 440: roll_amount: [43881]
Iteration 441: roll_amount: [77956]
Iteration 442: roll_amount: [41677]
Iteration 443: roll_amount: [22693]
Iteration 444: roll_amount: [82798]
Iteration 445: roll_amount: [59938]
Iteration 446: roll_amount: [23318]
Iteration 447: roll_amount: [39946]
Iteration 448: roll_amount: [53325]
Iteration 449: roll_amount: [60035]
Iteration 450: roll_amount: [16895]
Iteration 451: roll_amount: [73459]
Iteration 452: roll_amount: [26069]
Iteration 453: roll_amount: [25221]
Iteration 454: roll_amount: [46978]
Iteration 455: roll_amount: [15787]
Iteration 456: roll_amount: [28355]
Iteration 457: roll_amount: [52222]
Iteration 458: roll_amount: [16597]
Iteration 459: roll_amount: [24878]
Iteration 460: roll_amount: [62138]
Iteration 461: roll_amount: [35388]
Iteration 462: roll_amount: [74109]
Iteration 463: roll_amount: [86194]
Iteration 464: roll_amount: [24599]
Iteration 465: roll_amount: [33838]
Iteration 466: roll_amount: [55838]
Iteration 467: roll_amount: [21676]
Iteration 468: roll_amount: [17281]
Iteration 469: roll_amount: [14085]
Iteration 470: roll_amount: [69993]
Iteration 471: roll_amount: [33208]
Iteration 472: roll_amount: [40589]
Iteration 473: roll_amount: [40905]
Iteration 474: roll_amount: [63777]
Iteration 475: roll_amount: [36558]
Iteration 476: roll_amount: [48574]
Iteration 477: roll_amount: [27205]
Iteration 478: roll_amount: [77011]
Iteration 479: roll_amount: [24982]
Iteration 480: roll_amount: [35044]
Iteration 481: roll_amount: [51800]
Iteration 482: roll_amount: [32436]
Iteration 483: roll_amount: [69856]
Iteration 484: roll_amount: [82716]
Iteration 485: roll_amount: [78687]
Iteration 486: roll_amount: [29280]
Iteration 487: roll_amount: [43414]
Iteration 488: roll_amount: [33508]
Iteration 489: roll_amount: [83752]
Iteration 490: roll_amount: [54350]
Iteration 491: roll_amount: [18314]
Iteration 492: roll_amount: [83164]
Iteration 493: roll_amount: [28320]
Iteration 494: roll_amount: [82464]
Iteration 495: roll_amount: [80111]
Iteration 496: roll_amount: [26284]
Iteration 497: roll_amount: [69866]
Iteration 498: roll_amount: [40350]
Iteration 499: roll_amount: [31981]
Iteration 500: roll_amount: [52670]
Iteration 501: roll_amount: [76839]
Iteration 502: roll_amount: [75869]
Iteration 503: roll_amount: [32493]
Iteration 504: roll_amount: [35913]
Iteration 505: roll_amount: [55813]
Iteration 506: roll_amount: [2960]
Iteration 507: roll_amount: [24181]
Iteration 508: roll_amount: [26524]
Iteration 509: roll_amount: [33198]
Iteration 510: roll_amount: [33185]
Iteration 511: roll_amount: [12269]
Iteration 512: roll_amount: [84086]
Iteration 513: roll_amount: [76096]
Iteration 514: roll_amount: [45724]
Iteration 515: roll_amount: [48023]
Iteration 516: roll_amount: [24271]
Iteration 517: roll_amount: [88052]
Iteration 518: roll_amount: [14875]
Iteration 519: roll_amount: [76507]
Iteration 520: roll_amount: [85390]
Iteration 521: roll_amount: [56813]
Iteration 522: roll_amount: [18121]
Iteration 523: roll_amount: [54204]
Iteration 524: roll_amount: [55063]
Iteration 525: roll_amount: [24393]
Iteration 526: roll_amount: [18434]
Iteration 527: roll_amount: [40760]
Iteration 528: roll_amount: [32204]
Iteration 529: roll_amount: [1409]
Iteration 530: roll_amount: [17915]
Iteration 531: roll_amount: [81869]
Iteration 532: roll_amount: [46237]
Iteration 533: roll_amount: [73041]
Iteration 534: roll_amount: [38893]
Iteration 535: roll_amount: [69895]
Iteration 536: roll_amount: [30021]
Iteration 537: roll_amount: [88340]
Iteration 538: roll_amount: [52245]
Iteration 539: roll_amount: [87171]
Iteration 540: roll_amount: [13438]
Iteration 541: roll_amount: [24481]
Iteration 542: roll_amount: [51232]
Iteration 543: roll_amount: [78506]
Iteration 544: roll_amount: [16827]
Iteration 545: roll_amount: [31931]
Iteration 546: roll_amount: [22014]
Iteration 547: roll_amount: [34329]
Iteration 548: roll_amount: [14387]
Iteration 549: roll_amount: [11445]
Iteration 550: roll_amount: [74543]
Iteration 551: roll_amount: [51086]
Iteration 552: roll_amount: [82726]
Iteration 553: roll_amount: [33674]
Iteration 554: roll_amount: [15438]
Iteration 555: roll_amount: [15972]
Iteration 556: roll_amount: [79639]
Iteration 557: roll_amount: [739]
Iteration 558: roll_amount: [89249]
Iteration 559: roll_amount: [62006]
Iteration 560: roll_amount: [72094]
Iteration 561: roll_amount: [29775]
Iteration 562: roll_amount: [65430]
Iteration 563: roll_amount: [26890]
Iteration 564: roll_amount: [32897]
Iteration 565: roll_amount: [69481]
Iteration 566: roll_amount: [64493]
Iteration 567: roll_amount: [42293]
Iteration 568: roll_amount: [26333]
Iteration 569: roll_amount: [8760]
Iteration 570: roll_amount: [69344]
Iteration 571: roll_amount: [68865]
Iteration 572: roll_amount: [58081]
Iteration 573: roll_amount: [54463]
Iteration 574: roll_amount: [59798]
Iteration 575: roll_amount: [10059]
Iteration 576: roll_amount: [82126]
Iteration 577: roll_amount: [31728]
Iteration 578: roll_amount: [86273]
Iteration 579: roll_amount: [68976]
Iteration 580: roll_amount: [15120]
Iteration 581: roll_amount: [20439]
Iteration 582: roll_amount: [88151]
Iteration 583: roll_amount: [48849]
Iteration 584: roll_amount: [77462]
Iteration 585: roll_amount: [38594]
Iteration 586: roll_amount: [24584]
Iteration 587: roll_amount: [69326]
Iteration 588: roll_amount: [16472]
Iteration 589: roll_amount: [2920]
Iteration 590: roll_amount: [23355]
Iteration 591: roll_amount: [73629]
Iteration 592: roll_amount: [78068]
Iteration 593: roll_amount: [41326]
Iteration 594: roll_amount: [11476]
Iteration 595: roll_amount: [79]
Iteration 596: roll_amount: [20899]
Iteration 597: roll_amount: [84392]
Iteration 598: roll_amount: [83623]
Iteration 599: roll_amount: [14300]
Iteration 600: roll_amount: [25243]
Iteration 601: roll_amount: [4190]
Iteration 602: roll_amount: [46926]
Iteration 603: roll_amount: [36663]
Iteration 604: roll_amount: [48452]
Iteration 605: roll_amount: [53366]
Iteration 606: roll_amount: [59768]
Iteration 607: roll_amount: [1171]
Iteration 608: roll_amount: [55262]
Iteration 609: roll_amount: [73359]
Iteration 610: roll_amount: [73944]
Iteration 611: roll_amount: [81947]
Iteration 612: roll_amount: [84416]
Iteration 613: roll_amount: [87085]
Iteration 614: roll_amount: [67671]
Iteration 615: roll_amount: [90155]
Iteration 616: roll_amount: [37051]
Iteration 617: roll_amount: [42374]
Iteration 618: roll_amount: [21006]
Iteration 619: roll_amount: [15530]
Iteration 620: roll_amount: [7202]
Iteration 621: roll_amount: [19471]
Iteration 622: roll_amount: [8449]
Iteration 623: roll_amount: [81234]
Iteration 624: roll_amount: [28788]
Iteration 625: roll_amount: [10709]
Iteration 626: roll_amount: [9554]
Iteration 627: roll_amount: [35835]
Iteration 628: roll_amount: [29272]
Iteration 629: roll_amount: [881]
Iteration 630: roll_amount: [47370]
Iteration 631: roll_amount: [27232]
Iteration 632: roll_amount: [26048]
Iteration 633: roll_amount: [15825]
Iteration 634: roll_amount: [84397]
Iteration 635: roll_amount: [60819]
Iteration 636: roll_amount: [30321]
Iteration 637: roll_amount: [4104]
Iteration 638: roll_amount: [44808]
Iteration 639: roll_amount: [37457]
Iteration 640: roll_amount: [45261]
Iteration 641: roll_amount: [74793]
Iteration 642: roll_amount: [65219]
Iteration 643: roll_amount: [58691]
Iteration 644: roll_amount: [11334]
Iteration 645: roll_amount: [88827]
Iteration 646: roll_amount: [65649]
Iteration 647: roll_amount: [58667]
Iteration 648: roll_amount: [12834]
Iteration 649: roll_amount: [48445]
ENDING Params Values: [[-2.947206   -3.304893   -3.3928776  -2.6792998   0.33213165  2.8403974
  -2.4311993  -3.326208   -3.8522413   1.5127503  -0.01022553  0.49854538
   1.3057523   1.8283882   1.8773974   1.1936313   2.0326676  -0.9980903
   1.3793234   0.05351628  1.7410231   1.3716602   0.18253356  0.7356217
   1.9342506 ]]
